size,sw_time,buf_size,pre,hw_sha,post,hw_time
100,0.000762939453125,0.00373077392578125,0.009702444076538086,0.00020360946655273438,0.004425525665283203,0.01574993133544922
200,0.0014274120330810547,0.00745391845703125,0.013092279434204102,0.0002353191375732422,0.008486747741699219,0.023119688034057617
400,0.0028228759765625,0.01490020751953125,0.022480010986328125,0.0003027915954589844,0.017118453979492188,0.041052818298339844
800,0.005602359771728516,0.02979278564453125,0.0481114387512207,0.0004191398620605469,0.03412199020385742,0.08392953872680664
1600,0.012780427932739258,0.05957794189453125,0.10668706893920898,0.0006928443908691406,0.06964111328125,0.1799769401550293
3200,0.022083759307861328,0.11914825439453125,0.18425512313842773,0.0012316703796386719,0.14049482345581055,0.330491304397583
6400,0.044790029525756836,0.23828887939453125,0.3601810932159424,0.002319812774658203,0.27788352966308594,0.6473720073699951
12800,0.08931255340576172,0.47657012939453125,0.7254738807678223,0.004376888275146484,0.5563945770263672,1.2916285991668701
25600,0.17735815048217773,0.9531326293945312,1.3649351596832275,0.008733987808227539,1.1112444400787354,2.493485689163208
51200,0.3547666072845459,1.9062576293945312,2.6229941844940186,0.017004966735839844,2.225285291671753,4.880576848983765
102400,0.7089886665344238,3.8125076293945312,5.467909097671509,0.033849477767944336,4.47961163520813,10.011566400527954
204800,1.4146804809570312,7.625007629394531,10.478472232818604,0.06755805015563965,8.85494351387024,19.4604229927063
409600,2.821591854095459,15.250007629394531,20.95483422279358,0.13495659828186035,17.660265922546387,38.86760210990906
819200,5.6599860191345215,30.50000762939453,42.516834020614624,0.2697312831878662,35.42979669570923,78.45152354240417
1638400,11.308759450912476,61.00000762939453,84.45673823356628,0.5392124652862549,70.35038185119629,155.82630515098572
